ITHTS,HQTS(1),HQTS(2),HQTS(3),HQTS(4),HQTS(5),HQTS(6),HQTS(7),HQTS(8),HQTS(9),HQTS(10),HQTS(11),HQTS(12)
12/31/1976_24:00,419.8,193.16,131.52,9999.0,9999.0,9999.0,124.41118743866535,207.79,232.5,9999,9999,9999
01/31/1977_24:00,420.17,192.65,131.52,9999.0,9999.0,9999.0,124.70559371933265,208.4739130434783,235.97876447876448,9999,9999,9999
02/28/1977_24:00,420.48,190.93,131.52,9999.0,9999.0,9999.0,124.70559371933265,207.39,235.26447876447878,9999,9999,9999
03/31/1977_24:00,421.35,187.73,131.52,9999.0,9999.0,9999.0,122.90574712643678,203.63870967741934,230.83379310344827,9999,9999,9999
04/30/1977_24:00,424.43,184.1,131.52,9999.0,9999.0,9999.0,123.27281648675171,208.42608695652171,231.65586206896552,9999,9999,9999
05/31/1977_24:00,427.77,180.98,131.52,9999.0,9999.0,9999.0,123.27281648675171,203.48387096774192,226.04545454545453,9999,9999,9999
06/30/1977_24:00,424.41,176.22,131.52,9999.0,9999.0,9999.0,123.6457311089303,204.8914285714286,226.54242424242423,9999,9999,9999
07/31/1977_24:00,417.5,170.09,131.52,9999.0,9999.0,9999.0,124.01864573110893,201.76923076923075,224.15557729941293,9999,9999,9999
08/31/1977_24:00,410.02,163.88,131.52,9999.0,9999.0,9999.0,124.60745829244357,194.96666666666667,223.34148727984345,9999,9999,9999
09/30/1977_24:00,402.81,158.92,131.52,9999.0,9999.0,9999.0,124.90186457311088,196.80555555555554,221.22798434442274,9999,9999,9999
10/31/1977_24:00,398.31,157.8,130.59,9999.0,9999.0,9999.0,124.70559371933265,198.5272727272727,225.36363636363637,9999,9999,9999
11/30/1977_24:00,398.56,155.23,130.59,9999.0,9999.0,9999.0,124.60745829244357,198.5727272727273,228.73724137931038,9999,9999,9999
12/31/1977_24:00,413.0,152.59,130.59,9999.0,9999.0,9999.0,124.80372914622177,203.6258064516129,231.8296551724138,9999,9999,9999
01/31/1978_24:00,443.06,165.95,130.59,9999.0,9999.0,9999.0,124.11678115799802,204.68,234.54633204633205,9999,9999,9999
02/28/1978_24:00,447.89,180.06,130.59,9999.0,9999.0,9999.0,123.09617271835131,207.2,231.03793103448277,9999,9999,9999
03/31/1978_24:00,454.67,192.58,130.59,9999.0,9999.0,9999.0,124.70559371933265,207.0,235.77027027027026,9999,9999,9999
04/30/1978_24:00,466.88,202.98,130.59,9999.0,9999.0,9999.0,124.90186457311088,208.09130434782608,237.16666666666669,9999,9999,9999
05/31/1978_24:00,469.68,212.71,130.59,9999.0,9999.0,9999.0,124.11678115799802,207.76500000000001,240.27151335311572,9999,9999,9999
06/30/1978_24:00,464.14,229.23,130.59,9999.0,9999.0,9999.0,123.92051030421982,204.8857142857143,231.5510344827586,9999,9999,9999
07/31/1978_24:00,454.4,229.75,130.59,9999.0,9999.0,9999.0,124.70559371933265,204.38857142857148,230.53034482758622,9999,9999,9999
