Year,Month,VALUE,Datetime_EOM,C2VSim_Date,Sensor
1992.0,10.0,179.780625,1992-10-31,10/31/1992_24:00,6
1992.0,11.0,177.739375,1992-11-30,11/30/1992_24:00,6
1992.0,12.0,174.16199999999998,1992-12-31,12/31/1992_24:00,6
1993.0,1.0,177.70285714285714,1993-01-31,01/31/1993_24:00,6
1993.0,2.0,191.6458823529412,1993-02-28,02/28/1993_24:00,6
1993.0,3.0,201.852,1993-03-31,03/31/1993_24:00,6
1993.0,4.0,213.10181818181817,1993-04-30,04/30/1993_24:00,6
1993.0,5.0,219.9075,1993-05-31,05/31/1993_24:00,6
1993.0,6.0,229.6215789473684,1993-06-30,06/30/1993_24:00,6
1993.0,7.0,229.86176470588236,1993-07-31,07/31/1993_24:00,6
1993.0,8.0,223.8426315789474,1993-08-31,08/31/1993_24:00,6
1993.0,9.0,222.3852631578947,1993-09-30,09/30/1993_24:00,6
1993.0,10.0,220.206,1993-10-31,10/31/1993_24:00,6
1993.0,11.0,219.0963157894737,1993-11-30,11/30/1993_24:00,6
1993.0,12.0,218.0015,1993-12-31,12/31/1993_24:00,6
1994.0,1.0,216.14285714285714,1994-01-31,01/31/1994_24:00,6
1994.0,2.0,214.67999999999998,1994-02-28,02/28/1994_24:00,6
1994.0,3.0,212.8791304347826,1994-03-31,03/31/1994_24:00,6
1994.0,4.0,210.35842105263157,1994-04-30,04/30/1994_24:00,6
1994.0,5.0,206.73136363636365,1994-05-31,05/31/1994_24:00,6
1994.0,6.0,203.1542857142857,1994-06-30,06/30/1994_24:00,6
1994.0,7.0,202.98315789473682,1994-07-31,07/31/1994_24:00,6
1994.0,8.0,200.07652173913044,1994-08-31,08/31/1994_24:00,6
1994.0,9.0,199.10000000000002,1994-09-30,09/30/1994_24:00,6
1994.0,10.0,199.93105263157895,1994-10-31,10/31/1994_24:00,6
1994.0,11.0,199.6304347826087,1994-11-30,11/30/1994_24:00,6
1994.0,12.0,201.36,1994-12-31,12/31/1994_24:00,6
1995.0,1.0,205.2957142857143,1995-01-31,01/31/1995_24:00,6
1995.0,2.0,210.8961111111111,1995-02-28,02/28/1995_24:00,6
1995.0,3.0,218.05347826086955,1995-03-31,03/31/1995_24:00,6
1995.0,4.0,217.86142857142858,1995-04-30,04/30/1995_24:00,6
1995.0,5.0,218.49142857142857,1995-05-31,05/31/1995_24:00,6
1995.0,6.0,224.89777777777778,1995-06-30,06/30/1995_24:00,6
1995.0,7.0,231.31799999999998,1995-07-31,07/31/1995_24:00,6
1995.0,8.0,229.67636363636365,1995-08-31,08/31/1995_24:00,6
1995.0,9.0,225.404,1995-09-30,09/30/1995_24:00,6
1995.0,10.0,216.63285714285715,1995-10-31,10/31/1995_24:00,6
1995.0,11.0,213.30052631578948,1995-11-30,11/30/1995_24:00,6
1995.0,12.0,214.73,1995-12-31,12/31/1995_24:00,6
1996.0,1.0,213.49588235294118,1996-01-31,01/31/1996_24:00,6
1996.0,2.0,216.695625,1996-02-29,02/29/1996_24:00,6
1996.0,3.0,210.6315789473684,1996-03-31,03/31/1996_24:00,6
1996.0,4.0,208.09071428571428,1996-04-30,04/30/1996_24:00,6
1996.0,5.0,218.0773333333333,1996-05-31,05/31/1996_24:00,6
1996.0,6.0,231.50666666666666,1996-06-30,06/30/1996_24:00,6
1996.0,7.0,227.55,1996-07-31,07/31/1996_24:00,6
1996.0,8.0,223.0,1996-08-31,08/31/1996_24:00,6
,,224.1921818181818,1996-09-30,09/30/1996_24:00,6
,,225.38436363636364,1996-10-31,10/31/1996_24:00,6
,,226.57654545454545,1996-11-30,11/30/1996_24:00,6
,,227.7687272727273,1996-12-31,12/31/1996_24:00,6
1997.0,1.0,228.9609090909091,1997-01-31,01/31/1997_24:00,6
1997.0,2.0,226.1788888888889,1997-02-28,02/28/1997_24:00,6
,,217.98555555555555,1997-03-31,03/31/1997_24:00,6
1997.0,4.0,209.79222222222222,1997-04-30,04/30/1997_24:00,6
,,213.6114814814815,1997-05-31,05/31/1997_24:00,6
,,217.43074074074073,1997-06-30,06/30/1997_24:00,6
1997.0,7.0,221.25,1997-07-31,07/31/1997_24:00,6
,,219.49566666666666,1997-08-31,08/31/1997_24:00,6
1997.0,9.0,217.74133333333333,1997-09-30,09/30/1997_24:00,6
1997.0,10.0,219.14344827586206,1997-10-31,10/31/1997_24:00,6
1997.0,11.0,221.96133333333333,1997-11-30,11/30/1997_24:00,6
1997.0,12.0,221.56413793103448,1997-12-31,12/31/1997_24:00,6
1998.0,1.0,219.96461538461537,1998-01-31,01/31/1998_24:00,6
1998.0,2.0,221.8192,1998-02-28,02/28/1998_24:00,6
1998.0,3.0,211.22866666666667,1998-03-31,03/31/1998_24:00,6
1998.0,4.0,209.9226666666667,1998-04-30,04/30/1998_24:00,6
1998.0,5.0,215.1686956521739,1998-05-31,05/31/1998_24:00,6
1998.0,6.0,223.79961538461538,1998-06-30,06/30/1998_24:00,6
1998.0,7.0,228.6315789473684,1998-07-31,07/31/1998_24:00,6
1998.0,8.0,216.44,1998-08-31,08/31/1998_24:00,6
1998.0,9.0,212.58266666666668,1998-09-30,09/30/1998_24:00,6
1998.0,10.0,215.53290322580648,1998-10-31,10/31/1998_24:00,6
1998.0,11.0,218.06206896551726,1998-11-30,11/30/1998_24:00,6
1998.0,12.0,219.3476923076923,1998-12-31,12/31/1998_24:00,6
1999.0,1.0,219.13333333333333,1999-01-31,01/31/1999_24:00,6
1999.0,2.0,220.59428571428572,1999-02-28,02/28/1999_24:00,6
1999.0,3.0,214.7,1999-03-31,03/31/1999_24:00,6
1999.0,4.0,215.86533333333333,1999-04-30,04/30/1999_24:00,6
1999.0,5.0,216.68689655172415,1999-05-31,05/31/1999_24:00,6
1999.0,6.0,221.79172413793103,1999-06-30,06/30/1999_24:00,6
1999.0,7.0,223.97931034482758,1999-07-31,07/31/1999_24:00,6
1999.0,8.0,220.65241379310345,1999-08-31,08/31/1999_24:00,6
1999.0,9.0,218.00428571428571,1999-09-30,09/30/1999_24:00,6
1999.0,10.0,219.18285714285713,1999-10-31,10/31/1999_24:00,6
1999.0,11.0,220.87448275862067,1999-11-30,11/30/1999_24:00,6
1999.0,12.0,221.68965517241378,1999-12-31,12/31/1999_24:00,6
2000.0,1.0,219.50838709677421,2000-01-31,01/31/2000_24:00,6
2000.0,2.0,219.88000000000002,2000-02-29,02/29/2000_24:00,6
2000.0,3.0,216.0193548387097,2000-03-31,03/31/2000_24:00,6
2000.0,4.0,216.22,2000-04-30,04/30/2000_24:00,6
2000.0,5.0,218.7064516129032,2000-05-31,05/31/2000_24:00,6
2000.0,6.0,226.4,2000-06-30,06/30/2000_24:00,6
2000.0,7.0,224.3483870967742,2000-07-31,07/31/2000_24:00,6
2000.0,8.0,221.3741935483871,2000-08-31,08/31/2000_24:00,6
2000.0,9.0,219.58206896551724,2000-09-30,09/30/2000_24:00,6
2000.0,10.0,219.661935483871,2000-10-31,10/31/2000_24:00,6
2000.0,11.0,221.46533333333335,2000-11-30,11/30/2000_24:00,6
2000.0,12.0,221.2455172413793,2000-12-31,12/31/2000_24:00,6
2001.0,1.0,219.424,2001-01-31,01/31/2001_24:00,6
2001.0,2.0,216.7569230769231,2001-02-28,02/28/2001_24:00,6
2001.0,3.0,214.82516129032257,2001-03-31,03/31/2001_24:00,6
2001.0,4.0,213.379,2001-04-30,04/30/2001_24:00,6
2001.0,5.0,214.28689655172414,2001-05-31,05/31/2001_24:00,6
2001.0,6.0,210.01379310344825,2001-06-30,06/30/2001_24:00,6
2001.0,7.0,206.57966666666667,2001-07-31,07/31/2001_24:00,6
2001.0,8.0,203.8577419354839,2001-08-31,08/31/2001_24:00,6
2001.0,9.0,201.37166666666664,2001-09-30,09/30/2001_24:00,6
2001.0,10.0,201.88903225806453,2001-10-31,10/31/2001_24:00,6
2001.0,11.0,200.94933333333333,2001-11-30,11/30/2001_24:00,6
2001.0,12.0,201.07870967741934,2001-12-31,12/31/2001_24:00,6
2002.0,1.0,206.13806451612902,2002-01-31,01/31/2002_24:00,6
2002.0,2.0,207.83285714285714,2002-02-28,02/28/2002_24:00,6
2002.0,3.0,211.26451612903224,2002-03-31,03/31/2002_24:00,6
2002.0,4.0,216.686,2002-04-30,04/30/2002_24:00,6
2002.0,5.0,216.69806451612905,2002-05-31,05/31/2002_24:00,6
2002.0,6.0,217.00833333333333,2002-06-30,06/30/2002_24:00,6
2002.0,7.0,214.63612903225808,2002-07-31,07/31/2002_24:00,6
2002.0,8.0,211.06967741935483,2002-08-31,08/31/2002_24:00,6
2002.0,9.0,208.66666666666666,2002-09-30,09/30/2002_24:00,6
2002.0,10.0,209.48967741935485,2002-10-31,10/31/2002_24:00,6
2002.0,11.0,210.43733333333333,2002-11-30,11/30/2002_24:00,6
2002.0,12.0,211.23096774193547,2002-12-31,12/31/2002_24:00,6
2003.0,1.0,213.8309677419355,2003-01-31,01/31/2003_24:00,6
2003.0,2.0,217.81428571428572,2003-02-28,02/28/2003_24:00,6
2003.0,3.0,219.56645161290322,2003-03-31,03/31/2003_24:00,6
2003.0,4.0,219.24133333333333,2003-04-30,04/30/2003_24:00,6
2003.0,5.0,224.72516129032257,2003-05-31,05/31/2003_24:00,6
2003.0,6.0,230.904,2003-06-30,06/30/2003_24:00,6
2003.0,7.0,225.82967741935485,2003-07-31,07/31/2003_24:00,6
2003.0,8.0,219.00387096774193,2003-08-31,08/31/2003_24:00,6
2003.0,9.0,215.58344827586208,2003-09-30,09/30/2003_24:00,6
2003.0,10.0,215.96129032258065,2003-10-31,10/31/2003_24:00,6
2003.0,11.0,216.3093333333333,2003-11-30,11/30/2003_24:00,6
2003.0,12.0,216.0774193548387,2003-12-31,12/31/2003_24:00,6
2004.0,1.0,219.1432258064516,2004-01-31,01/31/2004_24:00,6
2004.0,2.0,220.41241379310344,2004-02-29,02/29/2004_24:00,6
2004.0,3.0,223.87483870967742,2004-03-31,03/31/2004_24:00,6
2004.0,4.0,227.51733333333334,2004-04-30,04/30/2004_24:00,6
2004.0,5.0,223.0632258064516,2004-05-31,05/31/2004_24:00,6
2004.0,6.0,217.833,2004-06-30,06/30/2004_24:00,6
2004.0,7.0,214.69096774193548,2004-07-31,07/31/2004_24:00,6
2004.0,8.0,211.74633333333335,2004-08-31,08/31/2004_24:00,6
2004.0,9.0,209.48533333333333,2004-09-30,09/30/2004_24:00,6
2004.0,10.0,210.02451612903226,2004-10-31,10/31/2004_24:00,6
2004.0,11.0,209.75,2004-11-30,11/30/2004_24:00,6
2004.0,12.0,209.9625806451613,2004-12-31,12/31/2004_24:00,6
2005.0,1.0,215.04451612903227,2005-01-31,01/31/2005_24:00,6
2005.0,2.0,222.74,2005-02-28,02/28/2005_24:00,6
2005.0,3.0,225.80903225806452,2005-03-31,03/31/2005_24:00,6
2005.0,4.0,229.95600000000002,2005-04-30,04/30/2005_24:00,6
2005.0,5.0,231.64000000000001,2005-05-31,05/31/2005_24:00,6
2005.0,6.0,232.064,2005-06-30,06/30/2005_24:00,6
2005.0,7.0,231.0273684210526,2005-07-31,07/31/2005_24:00,6
2005.0,8.0,224.93548387096774,2005-08-31,08/31/2005_24:00,6
2005.0,9.0,220.04413793103447,2005-09-30,09/30/2005_24:00,6
2005.0,10.0,218.96645161290323,2005-10-31,10/31/2005_24:00,6
2005.0,11.0,219.79233333333332,2005-11-30,11/30/2005_24:00,6
2005.0,12.0,220.36516129032256,2005-12-31,12/31/2005_24:00,6
