STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,Datetime
NAT,M,15,STORAGE,19720501 0000,19720531 0000,8260.0,,AF,1972-05-01
NAT,M,15,STORAGE,19720601 0000,19720630 0000,8360.0,,AF,1972-06-01
NAT,M,15,STORAGE,19720701 0000,19720731 0000,8170.0,,AF,1972-07-01
NAT,M,15,STORAGE,19720801 0000,19720831 0000,8560.0,,AF,1972-08-01
NAT,M,15,STORAGE,19720901 0000,19720930 0000,8660.0,,AF,1972-09-01
NAT,M,15,STORAGE,19721001 0000,19721031 0000,8610.0,,AF,1972-10-01
NAT,M,15,STORAGE,19721101 0000,19721130 0000,7750.0,,AF,1972-11-01
NAT,M,15,STORAGE,19721201 0000,19721231 0000,7520.0,,AF,1972-12-01
NAT,M,15,STORAGE,19730101 0000,19730131 0000,8030.0,,AF,1973-01-01
NAT,M,15,STORAGE,19730201 0000,19730301 0000,8810.0,,AF,1973-02-01
NAT,M,15,STORAGE,19730301 0000,19730331 0000,7700.0,,AF,1973-03-01
NAT,M,15,STORAGE,19730401 0000,19730430 0000,8610.0,,AF,1973-04-01
NAT,M,15,STORAGE,19730501 0000,19730531 0000,8260.0,,AF,1973-05-01
NAT,M,15,STORAGE,19730601 0000,19730630 0000,8410.0,,AF,1973-06-01
NAT,M,15,STORAGE,19730701 0000,19730731 0000,8310.0,,AF,1973-07-01
NAT,M,15,STORAGE,19730801 0000,19730831 0000,8260.0,,AF,1973-08-01
NAT,M,15,STORAGE,19730901 0000,19730930 0000,8360.0,,AF,1973-09-01
NAT,M,15,STORAGE,19731001 0000,19731031 0000,8360.0,,AF,1973-10-01
NAT,M,15,STORAGE,19731101 0000,19731130 0000,8660.0,,AF,1973-11-01
NAT,M,15,STORAGE,19731201 0000,19731231 0000,8610.0,,AF,1973-12-01
NAT,M,15,STORAGE,19740101 0000,19740131 0000,8610.0,,AF,1974-01-01
NAT,M,15,STORAGE,19740201 0000,19740301 0000,8120.0,,AF,1974-02-01
NAT,M,15,STORAGE,19740301 0000,19740331 0000,8260.0,,AF,1974-03-01
NAT,M,15,STORAGE,19740401 0000,19740430 0000,8460.0,,AF,1974-04-01
NAT,M,15,STORAGE,19740501 0000,19740531 0000,7790.0,,AF,1974-05-01
NAT,M,15,STORAGE,19740601 0000,19740630 0000,8710.0,,AF,1974-06-01
NAT,M,15,STORAGE,19740701 0000,19740731 0000,8360.0,,AF,1974-07-01
NAT,M,15,STORAGE,19740801 0000,19740831 0000,8460.0,,AF,1974-08-01
NAT,M,15,STORAGE,19741001 0000,19741031 0000,8070.0,,AF,1974-10-01
NAT,M,15,STORAGE,19741101 0000,19741130 0000,8360.0,,AF,1974-11-01
NAT,M,15,STORAGE,19741201 0000,19741231 0000,8410.0,,AF,1974-12-01
NAT,M,15,STORAGE,19750101 0000,19750131 0000,8260.0,,AF,1975-01-01
NAT,M,15,STORAGE,19750201 0000,19750301 0000,8070.0,,AF,1975-02-01
NAT,M,15,STORAGE,19750301 0000,19750331 0000,8460.0,,AF,1975-03-01
NAT,M,15,STORAGE,19750401 0000,19750430 0000,8560.0,,AF,1975-04-01
NAT,M,15,STORAGE,19750501 0000,19750531 0000,7980.0,,AF,1975-05-01
NAT,M,15,STORAGE,19750601 0000,19750630 0000,8660.0,,AF,1975-06-01
NAT,M,15,STORAGE,19750801 0000,19750831 0000,8610.0,,AF,1975-08-01
NAT,M,15,STORAGE,19750901 0000,19750930 0000,8460.0,,AF,1975-09-01
NAT,M,15,STORAGE,19751001 0000,19751031 0000,8660.0,,AF,1975-10-01
NAT,M,15,STORAGE,19751101 0000,19751130 0000,8360.0,,AF,1975-11-01
NAT,M,15,STORAGE,19751201 0000,19751231 0000,8030.0,,AF,1975-12-01
NAT,M,15,STORAGE,19760101 0000,19761231 0000,8030.0,,AF,1976-01-01
NAT,M,15,STORAGE,19760201 0000,19760229 0000,8560.0,,AF,1976-02-01
NAT,M,15,STORAGE,19760301 0000,19760331 0000,8710.0,,AF,1976-03-01
NAT,M,15,STORAGE,19760401 0000,19760331 0000,8820.0,,AF,1976-04-01
NAT,M,15,STORAGE,19760501 0000,19760531 0000,8260.0,,AF,1976-05-01
NAT,M,15,STORAGE,19760701 0000,19760731 0000,8710.0,,AF,1976-07-01
NAT,M,15,STORAGE,19760801 0000,19760831 0000,8610.0,,AF,1976-08-01
NAT,M,15,STORAGE,19760901 0000,19760930 0000,8510.0,,AF,1976-09-01
NAT,M,15,STORAGE,19761101 0000,19761130 0000,8560.0,,AF,1976-11-01
NAT,M,15,STORAGE,19761201 0000,19761231 0000,8510.0,,AF,1976-12-01
NAT,M,15,STORAGE,19770101 0000,19770131 0000,8660.0,,AF,1977-01-01
NAT,M,15,STORAGE,19770201 0000,19770301 0000,8660.0,,AF,1977-02-01
NAT,M,15,STORAGE,19770301 0000,19770331 0000,7750.0,,AF,1977-03-01
NAT,M,15,STORAGE,19770401 0000,19770430 0000,7930.0,,AF,1977-04-01
NAT,M,15,STORAGE,19770501 0000,19770531 0000,7930.0,,AF,1977-05-01
NAT,M,15,STORAGE,19770601 0000,19770630 0000,8120.0,,AF,1977-06-01
NAT,M,15,STORAGE,19770701 0000,19770731 0000,8310.0,,AF,1977-07-01
NAT,M,15,STORAGE,19770801 0000,19770831 0000,8610.0,,AF,1977-08-01
NAT,M,15,STORAGE,19770901 0000,19770930 0000,8760.0,,AF,1977-09-01
NAT,M,15,STORAGE,19771001 0000,19771031 0000,8660.0,,AF,1977-10-01
NAT,M,15,STORAGE,19771101 0000,19771130 0000,8610.0,,AF,1977-11-01
NAT,M,15,STORAGE,19771201 0000,19771231 0000,8710.0,,AF,1977-12-01
NAT,M,15,STORAGE,19780101 0000,19780131 0000,8360.0,,AF,1978-01-01
NAT,M,15,STORAGE,19780201 0000,19780301 0000,7840.0,,AF,1978-02-01
NAT,M,15,STORAGE,19780301 0000,19780331 0000,8660.0,,AF,1978-03-01
NAT,M,15,STORAGE,19780401 0000,19780430 0000,8760.0,,AF,1978-04-01
NAT,M,15,STORAGE,19780501 0000,19780531 0000,8360.0,,AF,1978-05-01
NAT,M,15,STORAGE,19780601 0000,19780630 0000,8260.0,,AF,1978-06-01
NAT,M,15,STORAGE,19780701 0000,19780731 0000,8660.0,,AF,1978-07-01
NAT,M,15,STORAGE,19780901 0000,19780930 0000,8360.0,,AF,1978-09-01
